id,source,target,weight
0,640,634,3
1,641,633,3
2,641,642,2
3,641,644,2
4,641,634,4
5,642,634,17
6,642,633,8
7,3,4,2
8,3,62,2
9,4,62,2
10,646,634,2
11,647,634,2
12,307,18,2
13,307,30,2
14,307,31,2
15,10,11,3
16,10,12,3
17,10,13,3
18,10,14,2
19,10,16,2
20,10,17,2
21,10,18,2
22,10,20,2
23,10,31,2
24,10,40,2
25,10,47,2
26,10,48,2
27,10,62,2
28,10,66,2
29,10,202,2
30,10,82,2
31,10,212,2
32,10,85,3
33,10,86,3
34,10,87,3
35,10,148,2
36,10,483,2
37,10,210,2
38,10,84,3
39,11,12,3
40,11,13,3
41,11,14,2
42,11,16,2
43,11,17,2
44,11,18,2
45,11,148,2
46,11,31,2
47,11,40,2
48,11,47,2
49,11,48,2
50,11,62,2
51,11,66,2
52,11,202,2
53,11,82,2
54,11,212,2
55,11,85,3
56,11,86,3
57,11,87,3
58,11,20,2
59,11,483,2
60,11,210,2
61,11,84,3
62,12,13,3
63,12,14,2
64,12,16,2
65,12,17,2
66,12,18,2
67,12,20,2
68,12,31,2
69,12,40,2
70,12,47,2
71,12,48,2
72,12,62,2
73,12,66,2
74,12,202,2
75,12,82,2
76,12,212,2
77,12,85,3
78,12,86,3
79,12,87,3
80,12,148,2
81,12,483,2
82,12,210,2
83,12,84,3
84,13,14,2
85,13,16,2
86,13,17,2
87,13,18,2
88,13,20,2
89,13,408,2
90,13,31,2
91,13,36,2
92,13,40,2
93,13,47,2
94,13,48,2
95,13,186,2
96,13,189,2
97,13,62,2
98,13,191,2
99,13,193,2
100,13,66,2
101,13,195,2
102,13,202,2
103,13,79,2
104,13,82,2
105,13,84,3
106,13,85,3
107,13,86,3
108,13,87,3
109,13,148,2
110,13,483,2
111,13,210,2
112,13,212,2
113,13,127,2
114,14,18,2
115,14,40,2
116,14,16,2
117,14,17,2
118,14,82,2
119,14,84,2
120,14,85,2
121,14,86,2
122,14,87,2
123,14,148,2
124,14,31,2
125,271,267,2
126,271,270,2
127,16,18,2
128,16,40,2
129,16,17,2
130,16,82,2
131,16,84,2
132,16,85,2
133,16,86,2
134,16,87,2
135,16,148,2
136,16,31,2
137,17,18,2
138,17,40,2
139,17,82,2
140,17,84,2
141,17,85,2
142,17,86,2
143,17,87,2
144,17,148,2
145,17,31,2
146,18,40,2
147,18,82,2
148,18,84,2
149,18,85,2
150,18,86,2
151,18,87,2
152,18,152,2
153,18,148,2
154,18,30,2
155,18,31,3
156,643,635,12
157,20,66,2
158,20,483,2
159,20,47,2
160,20,48,2
161,20,210,2
162,20,84,2
163,20,85,2
164,20,86,2
165,20,87,2
166,20,212,2
167,20,202,2
168,20,62,2
169,408,193,2
170,408,195,2
171,408,36,2
172,408,79,2
173,408,186,2
174,408,127,2
175,408,189,2
176,408,191,2
177,644,634,6
178,26,96,2
179,26,97,2
180,26,71,2
181,26,79,2
182,26,114,2
183,26,115,2
184,26,116,2
185,26,117,2
186,26,119,2
187,26,24,2
188,26,121,2
189,30,31,2
190,31,179,2
191,31,148,3
192,31,152,2
193,31,40,2
194,31,176,2
195,31,177,2
196,31,178,2
197,31,182,3
198,31,82,2
199,31,84,3
200,31,85,3
201,31,86,2
202,31,87,2
203,48,84,2
204,48,66,2
205,48,483,2
206,48,47,2
207,48,210,2
208,48,85,2
209,48,86,2
210,48,87,2
211,48,212,2
212,48,202,2
213,48,62,2
214,36,193,2
215,36,195,2
216,36,79,2
217,36,186,2
218,36,191,2
219,36,189,2
220,36,127,2
221,40,82,2
222,40,84,2
223,40,85,2
224,40,86,2
225,40,87,2
226,40,148,2
227,172,168,2
228,639,635,3
229,47,84,2
230,47,66,2
231,47,483,2
232,47,210,2
233,47,85,2
234,47,86,2
235,47,87,2
236,47,212,2
237,47,202,2
238,47,62,2
239,176,177,2
240,176,178,2
241,176,179,2
242,176,182,2
243,177,178,2
244,177,179,2
245,177,182,2
246,178,179,2
247,178,182,2
248,179,182,2
249,182,84,2
250,182,85,2
251,654,633,2
252,654,634,2
253,186,193,2
254,186,195,2
255,186,79,2
256,186,191,2
257,186,189,2
258,186,127,2
259,117,96,2
260,117,97,2
261,117,71,2
262,117,79,2
263,117,114,2
264,117,115,2
265,117,116,2
266,117,119,2
267,117,24,2
268,117,121,2
269,189,193,2
270,189,195,2
271,189,79,2
272,189,191,2
273,189,127,2
274,62,84,2
275,62,66,2
276,62,210,2
277,62,483,2
278,62,85,2
279,62,86,2
280,62,87,2
281,62,212,2
282,62,202,2
283,191,193,2
284,191,195,2
285,191,79,2
286,191,127,2
287,633,636,3
288,633,634,16
289,193,195,2
290,193,79,2
291,193,127,2
292,66,84,2
293,66,483,2
294,66,210,2
295,66,85,2
296,66,86,2
297,66,87,2
298,66,212,2
299,66,202,2
300,195,79,2
301,195,127,2
302,71,96,2
303,71,97,2
304,71,79,2
305,71,114,2
306,71,115,2
307,71,116,2
308,71,119,2
309,71,24,2
310,71,121,2
311,202,84,2
312,202,483,2
313,202,210,2
314,202,85,2
315,202,86,2
316,202,87,2
317,202,212,2
318,658,635,3
319,79,96,2
320,79,24,2
321,79,114,2
322,79,115,2
323,79,116,2
324,79,97,2
325,79,119,2
326,79,121,2
327,79,127,2
328,80,85,2
329,635,634,10
330,82,84,2
331,82,85,2
332,82,86,2
333,82,87,2
334,82,148,2
335,84,212,2
336,84,85,4
337,84,86,3
338,84,87,3
339,84,483,2
340,84,210,2
341,84,148,2
342,85,86,3
343,85,87,3
344,85,148,2
345,85,483,2
346,85,210,2
347,85,212,2
348,86,212,2
349,86,87,3
350,86,148,2
351,86,483,2
352,86,210,2
353,87,212,2
354,87,148,2
355,87,483,2
356,87,210,2
357,267,270,2
358,96,97,2
359,96,114,2
360,96,115,2
361,96,116,2
362,96,119,2
363,96,24,2
364,96,121,2
365,97,114,2
366,97,115,2
367,97,116,2
368,97,119,2
369,97,24,2
370,97,121,2
371,483,212,2
372,483,210,2
373,212,210,2
374,24,114,2
375,24,115,2
376,24,116,2
377,24,119,2
378,24,121,2
379,114,115,2
380,114,116,2
381,114,119,2
382,114,121,2
383,115,116,2
384,115,119,2
385,115,121,2
386,116,119,2
387,116,121,2
388,373,379,2
389,373,374,2
390,374,379,2
391,119,121,2
392,634,636,4
